,historical_sold,image,itemid,liked_count,name,price,price_max,price_min,shop_location,shopid,sold,stock,view_count
5296,0,https://cf.shopee.vn/file/7ca2e514232635a206b7c00ff4d0f0eb,15427454124,0,[Quà Tết 2022] 1 Kg Bánh Ngói Hạnh Nhân Matcha Thơm Ngon -đồ ăn vặt-ăn vặt-tết -bánh kẹo tết-têt 2022 Tết Tết,113000,376000,113000,TP. Hồ Chí Minh,285081079,0,4200,10
5297,0,https://cf.shopee.vn/file/771ba337c8abff5bff827b0248cfe1c7,15420171013,0,[Tết 2022] SOCOLA MÈO CHIÊU TÀI HŨ 308GR - socola mèo thần tài [Quà tết],140000,140000,140000,TP. Hồ Chí Minh,285081079,0,2000,6
5298,0,https://cf.shopee.vn/file/d6e721f5e53318a4b368c6c0461c85cd,15428270758,0,Sỉ Vỏ Hộp Quà Tết - Hộp Mứt Tết Mix 8 Hũ Sang Trọng Kèm Túi Xách - Quà Tặng Người Thân Tết 2022 Nhâm Dần,89000,89000,89000,Hà Nội,109872543,0,569,0
5299,0,https://cf.shopee.vn/file/9a716e704fc4bc212110dcf6725cf9b1,15422856765,0,[Quà Tết 2022] 1kg Bánh Quy Hương Cà phê Tân Việt Nhật - đồ ăn vặt thơm ngon-bánh kẹo tết-tết,25000,80000,25000,TP. Hồ Chí Minh,82799068,0,6000,0
5300,0,https://cf.shopee.vn/file/9368663e7cd0f3c444c54e0cb91a743b,15412317535,8,"⭐ FREE SHIP⭐ [COMBO 50 tờ]  Đổi tờ tiền Macao 100 hình con Cọp lì xì tết, tặng bao lì xì, Quà Tết 2022",328900,328900,328900,TP. Hồ Chí Minh,466470722,0,999,8
5301,0,https://cf.shopee.vn/file/bc1d71f1f2e4e177a4c4e9d2f5892aad,15503222035,2,Khay Mứt Tết Khay Đựng Hạt Khô Bánh Kẹo Đồ Ăn Nhẹ Sang Trọng Quà Tết,99000,139000,99000,Hà Nội,468133859,0,10,66
5302,0,https://cf.shopee.vn/file/29c39b5769ce1dcc33e51bff922e5bed,15413981469,2,Hộp quà tết 2022.Sang chảnh,555231,555231,555231,Hà Nội,37390767,0,65,25
5303,0,https://cf.shopee.vn/file/d801d81c975ccceeecde38b6d271cc92,15425887550,0,HỘP QUÀ TẾT 2022- 6 HŨ 70ML PHIÊN BẢN MÙA XUÂN,320000,564000,320000,TP. Hồ Chí Minh,76963666,0,3200,4
5304,0,https://cf.shopee.vn/file/3720f9c9feb7451bed71b26264c86ad0,15420171230,0,[Tết 2022] Mứt Dừa non Thanh Điệp Sợi Đũa Vị Vải Thơm Ngon  1 Kg- [Quà tết],120000,120000,120000,TP. Hồ Chí Minh,285081079,0,2000,0
5305,0,https://cf.shopee.vn/file/d0eb55b0979227a25d543a0c32b2e69d,15512268371,0,"[SIÊU RẺ] Tiền Macao 100 hình con Cọp, Tiền 100 Macao con Cọp Lì Xì 2022, Quà Tết 2022",7475,7475,7475,TP. Hồ Chí Minh,447446097,0,999,0
5306,0,https://cf.shopee.vn/file/047c5587113697536620d6b327fb3a14,15511133826,1,"Đổi tờ tiền Ấn Độ 10 Rupees hình con Hổ lì xì tết, tặng bao lì xì, Quà Tết 2022",17000,17000,17000,TP. Hồ Chí Minh,580377534,0,999,4
5307,0,https://cf.shopee.vn/file/44776f8b3f17bd963221aafdebbba1eb,15419267542,0,Hộp Quà Tết Lộc Xuân Gồm Hạt Dinh Dưỡng & Mứt Sấy Dẻo,98010,483120,98010,TP. Hồ Chí Minh,210930449,0,510,50
5308,0,https://cf.shopee.vn/file/402c40c35c0bf3d924438c47ec6a7a0f,15511133245,2,"2 USD MAY MẮN THẦN TÀI VÀNG làm quà tặng Tết , ngày vía thần tài rước lộc cả năm - bao da xanh sang trọng, Quà Tết 2022",110000,110000,110000,TP. Hồ Chí Minh,580377534,0,999,6
5309,0,https://cf.shopee.vn/file/5523de6d64a486aa9fbd231df1464823,15512270778,0,"[SIÊU RẺ] Tiền hình con Cọp Ấn Độ 10 Rupees lì xì tết Nhâm Dần - tặng kèm bao lì xì tết, Quà Tết 2022",17000,17000,17000,TP. Hồ Chí Minh,577754591,0,999,0
5310,0,https://cf.shopee.vn/file/1dc2cde5a07781e11c93ddd4065d6eb5,15424243567,2,💥 HỘP QUÀ TẾT AN KHANG 2022 💥 💥,135000,135000,135000,TP. Hồ Chí Minh,449541793,0,2,3
5311,0,https://cf.shopee.vn/file/7015f8e47ef48a326c693e0931eb2678,15510436540,0,Tờ 2 USD Hình Thần Tài Vàng may mắn + bao da đỏ - Quà Tết 2022,115000,115000,115000,TP. Hồ Chí Minh,448851271,0,999,1
5312,0,https://cf.shopee.vn/file/9080281ba3410c63cc977897f7a5c35e,15511134609,2,"5 Combo tờ tiền hình Hổ 10 Rupees Ấn Độ + bao lì xì may mắn Tết 2022, Quà Tết 2022",82500,82500,82500,TP. Hồ Chí Minh,580377534,0,999,41
5313,0,https://cf.shopee.vn/file/5d2c11c562d78eadbeb26bf61b4e18f0,15511815150,0,QUÀ TẾT MAY MẮN 2 USD Mạ Vàng Con Hổ Cọp 2022 - Lì Xì Tết [LÌ XÌ LƯU NIỆM TẾT 2022],103000,103000,103000,TP. Hồ Chí Minh,450229646,0,6867,1
5314,0,https://cf.shopee.vn/file/a55fb8ecc2141439ed4fbdfb1cf48400,15419990300,0,[Quà Tết 2022] 500gr Đậu thập cẩm mix 25 vị khác nhau cực ngon- ,69000,69000,69000,TP. Hồ Chí Minh,82799068,0,2000,0
5315,0,https://cf.shopee.vn/file/447139cbf0ce7cfe26941e9913a4be18,15412310903,0,"⭐ FREE SHIP⭐ Tiền in hình con Cọp Macao 100 lì xì tết 2022, Quà Tết 2022",8400,8400,8400,TP. Hồ Chí Minh,427477601,0,999,0
5316,0,https://cf.shopee.vn/file/e2e9c135d92660ae3b9537b47da14651,15511135761,1,"Xu hình cọp Úc vàng bạc lì xì Tết ý nghĩa - 2 xu đựng trong túi gấm chữ LỘC, Quà Tết 2022",59000,59000,59000,TP. Hồ Chí Minh,580377534,0,999,3
5317,0,https://cf.shopee.vn/file/12f63cec6435d859a144d3c5c6d805d1,15412270922,0,"[SIÊU RẺ] Combo 10 Tờ Tiền Hình Con Cọp 100 Macao Lưu Niệm, tặng kèm bao lì xì 2022, Quà Tết 2022",55000,55000,55000,TP. Hồ Chí Minh,577754591,0,999,0
5318,0,https://cf.shopee.vn/file/f72b9fcec9d3e66d6d095b9942543f69,15511133637,1,"Tiền hình con Cọp - 10 Rupees Ấn Độ lì xì tết, giá tốt nhất, tặng bao lì xì, Quà Tết 2022",17000,17000,17000,TP. Hồ Chí Minh,580377534,0,999,0
5319,0,https://cf.shopee.vn/file/cc62cf8525b08448fe745b5c3e176e70,15511133911,1,"Tiền in hình con Cọp Ấn Độ 10 Rupees lì xì tết 2022, tặng bao lì xì, Quà Tết 2022",17000,17000,17000,TP. Hồ Chí Minh,580377534,0,999,0
5320,0,https://cf.shopee.vn/file/10668e9e89cf05113d1c941b7c6ec207,15412272475,0,"[SIÊU RẺ] COMBO 10 tờ Tiền Hình Con Hổ Kỉ Niệm Đài Loan 100 + bao lì xì tết, Quà Tết 2022",55000,55000,55000,TP. Hồ Chí Minh,577754591,0,999,0
5321,0,https://cf.shopee.vn/file/a01c8003c8159dc166e4476f1cd64aa7,15513877727,0,Hộp quà Tết bộ bát đĩa hoa mặt trời cao cấp sứ bắc âu Dílo,990000,990000,990000,Hà Nội,465923818,0,81,411
5322,0,https://cf.shopee.vn/file/b65dee2d892d1f5471196e7b817afaa0,15421005377,0,Giỏ/Hộp Quà Tết 2022- có video,890000,890000,890000,Đà Nẵng,115973890,0,5,10
5323,0,https://cf.shopee.vn/file/db012a11f24398b21f285154714c8b05,15415770057,0,"Hộp Quà Tết Trái Cây Sấy Dẻo, Hạt Sấy",352000,471000,352000,TP. Hồ Chí Minh,619026349,0,200,0
5324,0,https://cf.shopee.vn/file/75e4a491b7edaecad9be1310707df77b,15511135334,1,"Tiền Đài Loan Con Hổ mệnh giá 100 May Mắn Lì Xì Tết Nhâm Dần - Combo 5 tờ cùng bao lì xì, Quà Tết 2022",50000,50000,50000,TP. Hồ Chí Minh,580377534,0,999,0
5325,0,https://cf.shopee.vn/file/1b3ee81f7a448452cde298a6230dd28f,15421648242,1,[Quà Tết 2022] 1 Kg Kẹo Dừa Nướng  cuộn Hương Trái Cây Thơm Ngon- Đặc Sản Bến Tre,49000,155000,49000,TP. Hồ Chí Minh,82799068,0,6200,0
5326,0,https://cf.shopee.vn/file/6a143d1c48864b5ad7f9ddde3909a7ab,15412299139,0,"⭐ FREE SHIP⭐ [50 TỜ] Tiền lì xì giá rẻ - Tờ 100 Trung Quốc hình con hổ lưu niệm Tết, Quà Tết 2022",377000,377000,377000,TP. Hồ Chí Minh,159590501,0,999,1
5327,0,https://cf.shopee.vn/file/8abcbe026c3262b786a95b25cfa87180,15412172230,0,"Combo 10 Tờ Tiền Hình Con Cọp 100 Macao Lưu Niệm, tặng kèm bao lì xì 2022, Quà Tết 2022",69000,69000,69000,TP. Hồ Chí Minh,458548466,0,999,0
5328,0,https://cf.shopee.vn/file/521bad8a8cf9da26a267038698883336,15512172995,0,"Combo 5 tấm tiền lì xì hình Cọp 100 Macao + bao lì xì 2022, quà tặng tết ý nghĩa, Quà Tết 2022",34498,34498,34498,TP. Hồ Chí Minh,458548466,0,999,0
5329,0,https://cf.shopee.vn/file/c1e1d9f00452874fda16858c32de34f2,15418577875,0,"Hộp Quà Tết [ Nhân Mứt Thượng Hạng ] - Hộp Mứt Tết Mix Set 8 Hũ Sang Trọng - Quà Tặng Doanh Nghiệp , Người Thân Tết",198000,275000,198000,Hà Nội,423092153,0,3225,0
5330,0,https://cf.shopee.vn/file/72e53223af3f56d2416e13a333e178d6,15426728219,1,"[HÀNG MỚI] [QUÀ TẾT] Hồng Treo Gió Siêu Ngon HÀN QUỐC, Hộp 10 Quả",400000,400000,400000,Hà Nội,635892515,0,500,2
5331,0,https://cf.shopee.vn/file/bca633f4a3a0be832e1f27011de21bd4,15426145904,0,"﹍♛﹍Combo 50 túi giấy kiếng gói quà tết, gấu bông 50x70, 60x80cm",265000,303000,265000,Hà Nội,502280018,0,1739,5
5332,0,https://cf.shopee.vn/file/484d61cc5119d6abc3f5ebf72c105f22,15511133484,1,"Tờ 2 USD Hình Thần Tài Vàng may mắn + bao da xanh, Quà Tết 2022",107000,107000,107000,TP. Hồ Chí Minh,580377534,0,999,0
5333,0,https://cf.shopee.vn/file/25e743252f1f8a152444a2c73af1fe28,15512274048,0,"[SIÊU RẺ] COMBO 50 - Lì xì độc tết 2022 - tờ tiền con Hổ may mắn Đài Loan , tặng kèm bao lì xì, Quà Tết 2022",290000,290000,290000,TP. Hồ Chí Minh,577754591,0,999,0
5334,0,https://cf.shopee.vn/file/a02068009d916f5da26b2963ed0ff957,15422333780,0,"⭐ FREE SHIP⭐ [COMBO 50 tờ] tờ hình con Cọp Macao 100 lì xì tết Nhâm Dần - tặng kèm bao lì xì tết, Quà Tết 2022",295000,295000,295000,TP. Hồ Chí Minh,623834433,0,999,0
5335,0,https://cf.shopee.vn/file/78a43f27eb8d62d0e657dbbf5fd2823a,15425771686,0,"Xe cân bằng điện 8inch Màu hồng , quà sinh nhật - quà tết ý nghĩa - GUSIN bảo hành 2 năm",3109000,3109000,3109000,TP. Hồ Chí Minh,319669142,0,859,0
5336,0,https://cf.shopee.vn/file/a5020f2aa7172997d633df2012388578,15510428490,0,"[10 Set] Bộ Quà Tết tờ 2 USD in Thần Tài Vàng tài lộc, quà tặng ý nghĩa - bao da đỏ - Quà Tết 2022",1015000,1015000,1015000,TP. Hồ Chí Minh,448147921,0,999,1
5337,0,https://cf.shopee.vn/file/849e3ecc8cb005120f09481e27f541d7,15414788669,2,[HÀNG TẾT 2022] Hộp Quà Tết AN Orion 2022 Size Lớn/Nhỏ (Giao Mẫu Hộp Ngẫu Nhiên),220000,280000,220000,Hà Nội,91094797,0,99,199
